dataset,custom_rbf_kernel_SVM,brownian_bridge_SVM,dtw_full_kNN,linear_kernel_SVM,psd_wasserstein_SVM,wasserstein-DTD_SVM,wasserstein_SVM,wasserstein_kNN,krein_wasserstein_SVM,sinkhorn_SVM,NB,C45,SVML,SVMQ,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE,MLP_deep,FCN,ResNet,dataset_type,KEMD,ts_length,train_size,train_size_log,ts_length_log
50words,0.635164835,0.573626374,0.69010989,0.4,0.775824176,0.72967033,0.775824176,0.740659341,0.773626374,,0.562637363,0.417582418,0.646153846,0.69010989,0.16043956,0.681318681,0.661538462,0.650549451,0.630769231,0.69010989,0.764835165,0.692307692,0.762637363,0.712087912,0.797802198,0.813186813,0.793406593,0.769230769,0.771428571,0.753846154,0.753846154,0.747252747,0.705494505,0.72967033,0.481319,0.540659341,0.393406593,0.705494505,0.740659341,0.758241758,0.817582418,0.428571429,0.417582418,0.81978022,0.78021978,0.797802198,0.808791209,0.684,0.627,0.74,Image,0.369230769,270,450,2.653212514,2.431363764
ShapeletSim,0.983333333,0.466666667,0.638888889,0.5,1,0.988888889,1,0.894444444,1,,0.466666667,0.488888889,0.488888889,0.483333333,0.522222222,0.488888889,0.411111111,0.472222222,0.538888889,0.65,0.694444444,0.538888889,0.505555556,0.838888889,0.822222222,0.866666667,0.577777778,0.494444444,0.755555556,0.611111111,0.6,0.672222222,0.955555556,0.95,1,0.7,0.716666667,1,0.477777778,0.961111111,0.866666667,0.922222222,0.766666667,0.816666667,0.744444444,0.961111111,1,0.503,0.724,0.779,Simulated,0.455555556,500,20,1.301029996,2.698970004
Herring,0.640625,0.53125,0.546875,0.59375,0.625,0.609375,0.625,0.625,0.625,,0.578125,0.578125,0.609375,0.609375,0.53125,0.59375,0.65625,0.640625,0.515625,0.53125,0.53125,0.5,0.515625,0.625,0.5625,0.5625,0.515625,0.46875,0.53125,0.546875,0.546875,0.578125,0.671875,0.625,0.53125,0.5625,0.625,0.546875,0.609375,0.640625,0.578125,0.671875,0.5625,0.578125,0.515625,0.625,0.6875,0.528,0.608,0.619,Image,0.546875,512,64,1.806179974,2.709269961
ECG200,0.85,0.85,0.79,0.8,0.9,0.88,0.9,0.88,0.9,,0.77,0.8,0.81,0.85,0.75,0.79,0.85,0.79,0.88,0.77,0.88,0.83,0.89,0.88,0.89,0.91,0.89,0.88,0.88,0.83,0.84,0.81,0.83,0.88,0.81,0.83,0.85,0.87,0.87,0.84,0.86,0.82,0.86,0.88,0.89,0.88,0.85,0.916,0.889,0.874,ECG,0.8,96,100,2,1.982271233
DistalPhalanxOutlineAgeGroup,0.815,0.8075,0.8425,0.805,0.85,0.85,0.85,0.82,0.85,,0.726618705,0.690647482,0.712230216,0.669064748,0.73381295,0.769784173,0.748201439,0.805755396,0.625899281,0.769784173,0.625899281,0.676258993,0.690647482,0.676258993,0.73381295,0.741007194,0.712230216,0.64028777,0.697841727,0.705035971,0.661870504,0.683453237,0.769784173,0.71942446,0.654676,0.690647482,0.841726619,0.748201439,0.748201439,0.712230216,0.669064748,0.712230216,0.705035971,0.690647482,0.633093525,0.748201439,0.762589928,0.657,0.71,0.717,Image,0.835,80,139,2.1430148,1.903089987
Gun_Point,0.973333333,0.953333333,0.826666667,0.606666667,0.993333333,0.986666667,0.993333333,0.913333333,0.993333333,,0.786666667,0.773333333,0.8,0.94,0.853333333,0.94,0.92,0.926666667,0.913333333,0.906666667,0.913333333,0.993333333,1,0.946666667,0.973333333,0.973333333,0.953333333,0.993333333,0.98,0.98,0.986666667,0.98,1,1,0.946667,0.986666667,0.986666667,1,0.973333333,0.986666667,0.993333333,0.726666667,0.893333333,0.993333333,0.926666667,1,1,0.927,1,0.991,Motion,0.953333333,150,50,1.698970004,2.176091259
uWaveGestureLibrary_Y,0.671133445,0.640703518,0.63400335,0.532384143,0.739530988,0.71133445,0.739530988,0.664433277,0.714684534,,0.555834729,0.563093244,0.627582356,0.626186488,0.584589615,0.69374651,0.71440536,0.664154104,0.661641541,0.63400335,0.701842546,0.584031267,0.662758236,0.678950307,0.691792295,0.701842546,0.684812954,0.659128978,0.693188163,0.715801228,0.698492462,0.702959241,0.730318258,0.702959241,0.595757,0.531825796,0.411781128,0.685092127,0.727247348,0.736180905,0.760748185,0.481853713,0.446677834,0.725572306,0.722501396,0.758514796,0.765494137,0.698,0.639,0.67,Motion,0.374092686,315,896,2.95230801,2.498310554
FordA,0.938628159,,0.562066093,0.49986115,,,0.92613163,0.808108859,0.92613163,,0.491666667,0.562121212,0.496212121,0.777272727,0.515909091,0.771969697,0.84469697,0.74469697,0.665151515,0.554545455,0.665151515,0.717424242,0.721969697,0.658333333,0.698484848,0.718939394,0.618181818,0.717424242,0.653030303,0.722727273,0.765151515,0.892424242,0.971212121,0.956818182,0.787121,0.789393939,0.827272727,0.929545455,0.815151515,0.85,0.872727273,0.936363636,0.937878788,0.737878788,0.771969697,0.956818182,0.964393939,0.73,0.904,0.92,Sensor,0.58678145,500,1320,3.120573931,2.698970004
ECGFiveDays,0.636469222,0.671312427,0.601626016,0.734030197,1,1,1,0.984901278,1,,0.796747967,0.721254355,0.975609756,0.972125436,0.780487805,0.721254355,0.908246225,0.916376307,0.796747967,0.767711963,0.796747967,0.68641115,0.695702671,0.806039489,0.794425087,0.890824623,0.829268293,0.692218351,0.795586527,0.768873403,0.822299652,0.974448316,0.983739837,1,0.997677,0.987224158,0.954703833,1,0.955865273,0.87688734,0.879210221,0.981416957,1,0.819976771,0.781649245,0.99883856,1,0.97,0.987,0.975,ECG,0.861788618,136,23,1.361727836,2.133538908
CinC_ECG_torso,0.602898551,0.773188406,0.650724638,0.316666667,0.804347826,0.745652174,0.804347826,0.804347826,0.804347826,,0.846376812,0.589855072,0.46884058,0.651449275,0.83115942,0.738405797,0.805797101,0.461594203,0.897101449,0.650724638,0.930434783,0.710869565,0.939130435,0.887681159,0.946376812,0.961594203,0.846376812,0.910144928,0.85942029,0.724637681,0.852173913,0.715217391,0.954347826,0.869565217,0.85942,0.713768116,0.770289855,0.886956522,0.982608696,0.712318841,0.736231884,0.797826087,0.870289855,0.942028986,0.945652174,0.994927536,0.996376812,0.84,0.824,0.826,Sensor,0.612318841,1639,40,1.602059991,3.214578954
BirdChicken,0.9,0.55,0.75,0.5,0.9,0.8,0.9,0.85,0.9,0.75,0.55,0.8,0.65,0.8,0.6,0.75,0.85,0.6,0.55,0.75,0.7,0.85,0.9,0.75,0.8,0.85,0.85,0.85,0.75,0.85,0.8,0.85,0.8,0.8,0.75,0.75,1,0.95,0.8,0.9,1,0.85,0.95,0.8,0.75,0.9,0.85,0.775,0.955,0.885,Image,0.6,512,20,1.301029996,2.709269961
MoteStrain,0.919329073,0.833865815,0.834664537,0.769968051,0.884185304,0.884984026,0.884185304,0.861821086,0.884185304,,0.842651757,0.786741214,0.866613419,0.870607029,0.856230032,0.888977636,0.880191693,0.845846645,0.878594249,0.834664537,0.865814696,0.715654952,0.774760383,0.872204473,0.881789137,0.854632588,0.797124601,0.787539936,0.85942492,0.833067093,0.767571885,0.908945687,0.896964856,0.883386581,0.777157,0.849041534,0.793929712,0.878594249,0.869009585,0.903354633,0.92172524,0.742811502,0.688498403,0.882587859,0.795527157,0.936900958,0.932907348,0.858,0.937,0.928,Sensor,0.792332268,84,20,1.301029996,1.924279286
BeetleFly,0.9,0.6,0.7,0.8,0.95,0.95,0.95,0.8,0.95,0.9,0.75,0.9,0.8,0.85,0.85,0.8,0.9,0.8,0.75,0.7,0.65,0.75,0.85,0.75,0.8,0.6,0.7,0.75,0.7,0.65,0.65,0.6,0.9,0.8,0.7,0.7,0.9,0.9,0.75,0.8,0.8,0.65,0.85,0.75,0.75,0.8,0.95,0.87,0.86,0.85,Image,1,512,20,1.301029996,2.709269961
