dataset,custom_rbf_kernel_SVM,brownian_bridge_SVM,dtw_full_kNN,linear_kernel_SVM,psd_wasserstein_SVM,wasserstein-DTD_SVM,wasserstein_SVM,wasserstein_kNN,krein_wasserstein_SVM,sinkhorn_SVM,NB,C45,SVML,SVMQ,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE,MLP_deep,FCN,ResNet,dataset_type,KEMD,ts_length,train_size,train_size_log,ts_length_log
Strawberry,0.959216966,0.942903752,0.939641109,0.64274062,0.938009788,0.897226754,0.938009788,0.947797716,0.938009788,,0.764864865,0.937837838,0.918918919,0.972972973,0.818918919,0.956756757,0.972972973,0.962162162,0.945945946,0.940540541,0.945945946,0.962162162,0.962162162,0.945945946,0.837837838,0.943243243,0.943243243,0.962162162,0.943243243,0.954054054,0.956756757,0.97027027,0.962162162,0.910810811,0.902703,0.967567568,0.956756757,0.975675676,0.964864865,0.954054054,0.962162162,0.87027027,0.940540541,0.945945946,0.943243243,0.951351351,0.97027027,0.961,0.972,0.981,Spectro,0.921696574,235,370,2.568201724,2.371067862
MALLAT,0.808955224,0.796162047,0.933901919,0.637526652,0.959061834,0.973134328,0.959061834,0.928784648,0.959061834,,0.845628998,0.751385928,0.866950959,0.863539446,0.955223881,0.864818763,0.949253731,0.89466951,0.914285714,0.933901919,0.914285714,0.897228145,0.925373134,0.913859275,0.9108742,0.931769723,0.912153518,0.912579957,0.937739872,0.948827292,0.927078891,0.948400853,0.964179104,0.95010661,0.976119,0.845628998,0.84434968,0.938166311,0.919402985,0.960341151,0.908315565,0.82217484,0.884008529,0.939872068,0.925373134,0.953944563,0.962046908,0.918,0.967,0.972,Simulated,0.745415778,1024,55,1.740362689,3.010299957
ToeSegmentation1,0.951754386,0.666666667,0.714912281,0.486842105,0.947368421,0.951754386,0.947368421,0.868421053,0.947368421,,0.552631579,0.592105263,0.543859649,0.574561404,0.578947368,0.649122807,0.530701754,0.5,0.679824561,0.771929825,0.75,0.785087719,0.587719298,0.833333333,0.75,0.815789474,0.820175439,0.627192982,0.793859649,0.807017544,0.807017544,0.921052632,0.964912281,0.934210526,0.95614,0.877192982,0.929824561,0.938596491,0.74122807,0.780701754,0.877192982,0.890350877,0.697368421,0.828947368,0.736842105,0.973684211,0.98245614,0.583,0.961,0.963,Motion,0.798245614,277,40,1.602059991,2.442479769
SonyAIBORobotSurface,0.823627288,0.429284526,0.758735441,0.542429285,0.925124792,0.948419301,0.925124792,0.873544093,0.925124792,,0.930116473,0.655574043,0.703826955,0.707154742,0.740432612,0.637271215,0.808652246,0.901830283,0.695507488,0.725457571,0.695507488,0.730449251,0.698835275,0.688851913,0.735440932,0.730449251,0.680532446,0.717138103,0.737104825,0.742096506,0.710482529,0.740432612,0.84359401,0.81031614,0.685524,0.71547421,0.813643927,0.632279534,0.787021631,0.795341098,0.773710483,0.886855241,0.878535774,0.703826955,0.81530782,0.845257903,0.765391015,0.672,0.96,0.958,Sensor,0.740432612,70,20,1.301029996,1.84509804
MiddlePhalanxOutlineAgeGroup,0.7725,0.7825,0.7675,0.27,0.7975,0.7975,0.7975,0.75,0.7725,,0.590909091,0.551948052,0.616883117,0.487012987,0.603896104,0.603896104,0.571428571,0.558441558,0.519480519,0.5,0.519480519,0.558441558,0.577922078,0.480519481,0.61038961,0.493506494,0.519480519,0.538961039,0.519480519,0.538961039,0.5,0.512987013,0.642857143,0.571428571,0.545455,0.519480519,0.545454545,0.545454545,0.577922078,0.577922078,0.487012987,0.61038961,0.616883117,0.558441558,0.512987013,0.636363636,0.597402597,0.531,0.553,0.569,Image,0.7875,80,154,2.187520721,1.903089987
WordsSynonyms,0.540752351,0.506269592,0.648902821,0.362068966,0.684952978,0.667711599,0.684952978,0.703761755,0.684952978,,0.476489028,0.380877743,0.512539185,0.565830721,0.250783699,0.570532915,0.598746082,0.537617555,0.617554859,0.648902821,0.749216301,0.680250784,0.731974922,0.681818182,0.757053292,0.763322884,0.749216301,0.731974922,0.744514107,0.730407524,0.730407524,0.673981191,0.570532915,0.606583072,0.431034,0.515673981,0.490595611,0.637931034,0.647335423,0.688087774,0.755485893,0.365203762,0.37460815,0.778996865,0.757053292,0.757053292,0.738244514,0.598,0.564,0.622,Image,0.330721003,270,267,2.426511261,2.431363764
ItalyPowerDemand,0.878522838,0.96404276,0.950437318,0.936831876,0.954324587,0.943634597,0.954324587,0.951409135,0.954324587,,0.900874636,0.946550049,0.971817298,0.951409135,0.931972789,0.965986395,0.972789116,0.945578231,0.955296404,0.950437318,0.955296404,0.91350826,0.972789116,0.955296404,0.957240039,0.943634597,0.948493683,0.940719145,0.950437318,0.950437318,0.951409135,0.960155491,0.947521866,0.960155491,0.917396,0.860058309,0.816326531,0.908649174,0.960155491,0.883381924,0.923226433,0.790087464,0.896987366,0.962099125,0.956268222,0.961127308,0.963070943,0.954,0.961,0.963,Sensor,0.792031098,24,67,1.826074803,1.380211242
Lighting7,0.616438356,0.589041096,0.726027397,0.493150685,0.780821918,0.794520548,0.780821918,0.780821918,0.780821918,,0.643835616,0.547945205,0.712328767,0.712328767,0.684931507,0.698630137,0.726027397,0.643835616,0.575342466,0.726027397,0.712328767,0.575342466,0.698630137,0.739726027,0.575342466,0.753424658,0.753424658,0.684931507,0.767123288,0.671232877,0.657534247,0.575342466,0.726027397,0.794520548,0.643836,0.575342466,0.575342466,0.684931507,0.753424658,0.726027397,0.739726027,0.575342466,0.602739726,0.767123288,0.698630137,0.808219178,0.739726027,0.63,0.827,0.845,Sensor,0.575342466,319,70,1.84509804,2.503790683
uWaveGestureLibrary_X,0.763260748,0.734505863,0.727526521,0.61948632,0.801228364,0.779731993,0.801507538,0.753210497,0.801507538,,0.665270798,0.601340034,0.658570631,0.718592965,0.669458403,0.762144054,0.782802903,0.747906198,0.739251815,0.727526521,0.774427694,0.676996092,0.741485204,0.771356784,0.771356784,0.769123395,0.771356784,0.74427694,0.774427694,0.779173646,0.774706868,0.801507538,0.802903406,0.791178113,0.694584,0.597710776,0.529034059,0.762144054,0.804020101,0.830820771,0.829145729,0.472920156,0.448073702,0.805415969,0.789782245,0.821887214,0.839754327,0.767,0.754,0.78,Motion,0.414293691,315,896,2.95230801,2.498310554
OliveOil,0.866666667,0.566666667,0.833333333,0.4,0.866666667,0.833333333,0.866666667,0.866666667,0.866666667,,0.9,0.833333333,0.866666667,0.866666667,0.9,0.9,0.866666667,0.9,0.866666667,0.833333333,0.866666667,0.866666667,0.833333333,0.866666667,0.4,0.833333333,0.866666667,0.866666667,0.833333333,0.833333333,0.866666667,0.9,0.9,0.166666667,0.733333,0.866666667,0.9,0.866666667,0.866666667,0.833333333,0.866666667,0.8,0.833333333,0.866666667,0.866666667,0.9,0.9,0.667,0.723,0.83,Spectro,0.766666667,570,30,1.477121255,2.755874856
